NEW				
Uref (m/s)				
0				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
Uref (m/s)				
9				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.2	2.544691667	3.024408333	9.0154	21.7
-39.96	2.542025	3.022458333	8.9798	21.7
-34.83	2.548383333	3.01965	8.9909	21.6
-30.24	2.562866667	3.013666667	8.9963	21.6
-25.2	2.58855	3.005375	9.0304	21.6
-19.98	2.617566667	2.990158333	8.9864	21.7
-14.85	2.64995	2.973633333	8.9887	21.7
-9.99	2.6802	2.955116667	8.9827	21.6
-5.31	2.708891667	2.935283333	9.0015	21.5
0	2.737058333	2.90875	9.0032	21.5
5.04	2.76175	2.876725	9.013	21.5
10.17	2.780683333	2.841591667	9	21.5
14.67	2.795233333	2.808366667	9.0089	21.5
19.71	2.80815	2.768658333	9.0019	21.5
25.02	2.819858333	2.72812	9.0002	21.5
30.06	2.829125	2.693308333	9.0063	21.5
35.01	2.837	2.669908333	9.0467	21.5
39.6	2.838566667	2.657091667	8.9999	21.5
42.93	2.838025	2.655633333	8.9634	21.5
NEW				
Uref (m/s)				
11				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.2	2.602416667	3.109891667	11.018	21.5
-39.78	2.599933333	3.107966667	10.981	21.5
-34.83	2.6068	3.10465	10.9973	21.5
-30.15	2.623166667	3.09865	11.0041	21.5
-25.2	2.649991667	3.0882	11.0009	21.5
-19.98	2.682866667	3.073875	10.9959	21.6
-14.85	2.717341667	3.055983333	10.987	21.6
-9.99	2.750525	3.037241667	11.0074	21.6
-5.31	2.779475	3.01495	10.9929	21.7
0	2.809775	2.987125	11.0081	21.7
5.04	2.835958333	2.952741667	11.0127	21.6
10.17	2.856875	2.916325	11.0241	21.7
14.85	2.870641667	2.878875	10.9836	21.6
19.71	2.8847	2.836841667	10.9921	21.7
25.02	2.897508333	2.793416667	11.0038	21.7
30.15	2.907408333	2.754833333	11.0137	21.8
35.1	2.912983333	2.726064167	10.9904	21.7
39.69	2.917466667	2.7139125	11.0072	21.7
42.93	2.918025	2.7125775	10.9894	21.7
NEW				
Uref (m/s)				
13				
Angle (degrees)	E1/G1+O1	E2/G2+O2	Uref (m/s)	Temp C
-43.11	2.651916667	3.184291667	13.0238	21.8
-39.78	2.650466667	3.183616667	13.024	21.8
-34.83	2.656358333	3.177716667	12.9702	21.8
-30.33	2.675075	3.1718	12.9948	21.8
-25.2	2.705091667	3.162083333	13.0296	21.8
-19.98	2.74045	3.147616667	13.0279	21.8
-14.85	2.774925	3.126666667	12.9503	21.8
-9.99	2.808858333	3.106208333	12.9523	21.8
-5.31	2.842375	3.085841667	13.0276	21.8
0	2.872675	3.055191667	13.0045	21.8
